CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
"4391366",7955,10,5,0,0.2
"4391376",7956,61,18,10,0.210526315789474
"4391377",7957,4203,2898,367,0.0823529411764706
"4391378",7958,3873,2465,898,0.218211648892535
"4391380",7959,1696,1179,167,0.102094240837696
"4391382",7960,2835,1713,246,0.0762304921968787
"4391388",7961,3734,2369,355,0.0910645575032065
"4391394",7962,0,0,0,0
"4391404",7963,2593,1648,280,0.0952978056426332
"4391407",7964,67,36,7,0.0833333333333333
"4391408",7965,236,148,100,0.32
"4391412",7966,0,0,0,0
"4391414",7967,42,30,11,0.241379310344828
"4391415",7968,1833,852,462,0.260514018691589
"4391416",7969,152,123,35,0.181034482758621
"4391418",7970,0,0,0,0
"4391420",7971,0,0,0,0
"4391423",7972,2621,2213,61,0.0244676030811056
"4391424",7973,12,8,0,0
"4391427",7974,9,4,1,0.2
"4391430",7975,13,7,3,0.375
"4391431",7976,2188,1595,228,0.102066374452098
"4391434",7977,1,0,0,0
"4391436",7978,1337,911,153,0.112568306010929
"4391437",7979,601,447,66,0.0892448512585812
"4391439",7980,246,135,33,0.0863309352517986
"4391440",7981,2209,1302,571,0.235654169854629
"4391441",7982,911,458,89,0.0862470862470862
"4391444",7983,97,59,27,0.135593220338983
"4391445",7984,43,31,22,0.448275862068966
"4391455",7985,0,0,0,0
"4391457",7986,4,3,0,0
"4391459",7987,1954,1321,413,0.203112203112203
"4391460",7988,3329,1735,258,0.0691299165673421
"4391463",7989,2351,1156,265,0.0990187332738626
"4391472",7990,229,155,19,0.0434782608695652
"4391473",7991,144,73,69,0.388888888888889
"4391476",7992,122,71,63,0.547945205479452
"4391477",7993,1267,595,484,0.383015597920277
"4391479",7994,206,115,71,0.324324324324324
"4391481",7995,586,282,400,0.706093189964158
"4391482",7996,746,363,389,0.529745042492918
"4391489",7997,2149,1423,227,0.10625
"4391490",7998,772,466,32,0.0388127853881279
"4391491",7999,4,3,0,0
"4391501",8000,589,373,97,0.175675675675676
"4391504",8001,2089,1524,133,0.054857898215466
"4391514",8002,0,0,0,0
"4391515",8003,37,19,13,0.421052631578947
"4391518",8004,1079,563,99,0.0806754221388368
"4391543",8005,1042,638,180,0.144654088050314
"4391544",8006,10,4,6,0.25
"4391547",8007,0,0,0,0
"4391549",8008,0,0,0,0
"4391550",8009,49,27,10,0.2
"4391555",8010,5,0,1,0
"4391559",8011,238,151,47,0.184931506849315
"4391564",8012,0,0,0,0
"4391576",8013,185,99,57,0.25531914893617
"4391577",8014,1187,673,340,0.243283582089552
"4391578",8015,1551,923,277,0.142231947483589
"4391586",8016,14,4,1,0.166666666666667
"4391589",8017,239,154,15,0.0733333333333333
"4391594",8018,0,0,0,0
"4391597",8019,603,294,396,0.68904593639576
"4391603",8020,0,0,0,0
"4391605",8021,0,0,0,0
"4391607",8022,0,0,0,0
"4391608",8023,900,736,98,0.0954356846473029
"4391610",8024,39,29,3,0.103448275862069
"4391611",8025,31,18,16,0.526315789473684
"4391617",8026,42,28,12,0.296296296296296
"4391619",8027,34,16,14,0.333333333333333
"4391621",8028,254,157,42,0.185185185185185
"4391622",8029,46,32,4,0.0625
"4391623",8030,0,0,0,0
"4391625",8031,0,0,0,0
"4391627",8032,345,221,19,0.0412844036697248
"4391631",8033,288,190,19,0.0456852791878173
"4391633",8034,36,24,22,0.52
"4391639",8035,1256,854,256,0.135416666666667
"4391641",8036,3888,2958,461,0.113848202396804
"4391642",8037,2542,1697,349,0.128841607565012
"4391651",8038,0,0,0,0
"4391652",8039,265,104,20,0.0396039603960396
"4391672",8040,0,0,0,0
"4391674",8041,0,0,0,0
"4391676",8042,340,190,69,0.171122994652406
"4391677",8043,185,172,14,0.0748663101604278
"4391678",8044,22,3,11,0
"4391679",8045,0,0,0,0
"4391684",8046,451,337,73,0.125
"4391701",8047,1205,874,134,0.1036866359447
"4391704",8048,2382,1690,294,0.109857482185273
"4391710",8049,1706,1074,420,0.227230046948357
"4391714",8050,3593,2344,439,0.11130284728214
"4391715",8051,991,786,105,0.113065326633166
"4391717",8052,2066,1402,313,0.144264602392681
"4391718",8053,1147,862,140,0.129438717067583
"4391719",8054,2802,2089,218,0.0718021873514028
"4391722",8055,433,309,71,0.159468438538206
"4391723",8056,1612,1314,141,0.0815884476534296
"4391734",8057,3377,2308,448,0.135972461273666
"4391738",8058,27,18,0,0.111111111111111
"4391739",8059,96,58,7,0.140350877192982
"4391740",8060,0,0,0,0
"4391747",8061,0,0,0,0
"4391749",8062,0,0,0,0
"4391752",8063,0,0,0,0
"4391753",8064,0,0,0,0
"4391801",8065,0,0,0,0
"4391821",8066,0,0,0,0
"4392002",8067,0,0,0,0
"4392003",8068,963,721,101,0.106060606060606
"4392007",8069,2262,1736,134,0.059667240390132
"4392026",8070,2099,1446,251,0.103728813559322
"4392027",8071,662,389,187,0.193717277486911
"4392028",8072,1368,996,109,0.0791295746785361
"4392029",8073,2413,1769,230,0.0929577464788732
"4392030",8074,3644,2262,445,0.126348920863309
"4392031",8075,2629,1864,370,0.136290753607696
"4392033",8076,2691,1564,644,0.207766990291262
"4392052",8077,2377,1502,298,0.122476446837147
"4392055",8078,2061,1557,172,0.0819047619047619
"4392058",8079,16,10,2,0
"4392100",8080,583,377,164,0.260526315789474
"4392112",8081,2046,1554,105,0.0471401634192332
"4392134",8082,1207,591,136,0.0815972222222222
"4392143",8083,938,552,350,0.363805970149254
"4392145",8084,2144,1122,953,0.428442028985507
"4392147",8085,1282,901,137,0.109559613319012
"4392148",8086,2908,1481,797,0.242508710801394
"4392158",8087,2392,1703,263,0.106220657276995
"4392161",8088,1701,965,236,0.164870689655172
"4392168",8089,1166,693,180,0.128093158660844
"4392169",8090,1221,600,336,0.253355704697987
"4392171",8091,2766,2028,239,0.0857699805068226
"4392173",8092,1000,822,50,0.0501792114695341
"4392174",8093,2939,1994,335,0.108980827447023
"4392180",8094,1983,1042,495,0.23046875
"4392181",8095,2760,2019,246,0.08837890625
"4392190",8096,355,214,72,0.151658767772512
"4392205",8097,2517,1842,215,0.0706638115631692
"4392210",8098,1116,578,478,0.400690846286701
"4392217",8099,3343,1952,482,0.122113904566444
"4392219",8100,2544,1910,183,0.073744769874477
"4392220",8101,2626,2052,140,0.0522716170004885
"4392221",8102,1805,1360,157,0.0888230940044412
"4392223",8103,1863,1476,92,0.0483764082173625
"4392224",8104,2198,1308,201,0.0799689440993789
"4392225",8105,2085,1014,666,0.279141104294479
"4392226",8106,2236,1280,471,0.191846522781775
"4392228",8107,2381,1914,170,0.0692662904053361
"4392229",8108,2331,1570,238,0.0921052631578947
"4392235",8109,3229,1768,1011,0.300170551449687
"4392246",8110,1179,949,84,0.072840790842872
"4392258",8111,688,483,81,0.0954356846473029
"4392262",8112,1067,750,121,0.0832214765100671
"4392263",8113,2473,1293,1113,0.43701399688958
"4392266",8114,3068,2276,234,0.0697775839511557
"4392267",8115,2533,1371,525,0.195716395864106
"4392268",8116,1538,943,333,0.199788583509514
"4392269",8117,511,314,128,0.231270358306189
"4392274",8118,3,2,0,0
"4392275",8119,1055,691,313,0.289665211062591
"4392280",8120,1492,1118,124,0.0809859154929577
"4392281",8121,1512,1122,128,0.0875451263537906
"4392299",8122,1920,1349,232,0.119259259259259
"4392302",8123,1879,1025,386,0.192913385826772
"4392303",8124,2240,1668,220,0.0791841631673665
"4392304",8125,2303,1791,179,0.0740331491712707
"4392305",8126,1959,1403,224,0.103174603174603
"4392306",8127,2017,1516,141,0.062664907651715
"4392307",8128,3741,2867,330,0.0837714686295128
"4392308",8129,3662,2497,523,0.112709832134293
"4392309",8130,1771,925,813,0.444198895027624
"4392310",8131,1978,1344,178,0.0756115641215715
"4392313",8132,2365,1766,201,0.0757490107405314
"4392314",8133,3400,2498,277,0.0690067810131631
"4392315",8134,2035,1239,184,0.0828500414250207
"4392316",8135,1980,1347,165,0.0732075471698113
"4392317",8136,1320,1002,114,0.0872617853560682
"4392318",8137,1912,1332,237,0.108148148148148
"4392319",8138,2501,1802,261,0.0966684871654833
"4392320",8139,2198,1252,408,0.17816091954023
"4392341",8140,486,322,102,0.182965299684543
"4392349",8141,1813,1310,278,0.141970519782777
"4392353",8142,1388,861,304,0.211494252873563
"4392354",8143,1656,1008,326,0.206793206793207
"4392355",8144,1712,1212,221,0.123333333333333
"4392356",8145,3245,2298,384,0.104340201665936
"4392357",8146,3244,2487,293,0.0853658536585366
"4392358",8147,2491,1856,218,0.083829096809086
"4392360",8148,3463,2669,219,0.0534698521046644
"4392379",8149,3853,2655,546,0.127547169811321
"4392381",8150,782,392,108,0.126684636118598
"4392383",8151,2548,1634,473,0.180147058823529
"4392393",8152,449,245,150,0.260504201680672
"4392401",8153,401,207,37,0.0471698113207547
"4392402",8154,45,17,3,0.142857142857143
"4392403",8155,46,13,10,0.166666666666667
"4392405",8156,4593,3120,636,0.127014829142489
"4392411",8157,700,323,259,0.394984326018809
"4392413",8158,748,500,191,0.241935483870968
"4392419",8159,0,0,0,0
"4392425",8160,3361,2231,314,0.0810810810810811
"4392426",8161,2502,1829,206,0.0842849374660141
"4392428",8162,695,330,259,0.378048780487805
"4392435",8163,3014,2292,334,0.094388864723793
"4392438",8164,2898,1831,532,0.176145775814467
"4392442",8165,2924,2510,220,0.0758384146341463
"4392448",8166,3280,2067,546,0.155737704918033
"4392449",8167,1651,1051,340,0.193269230769231
"4392450",8168,2782,1779,522,0.183066361556064
"4392451",8169,198,98,33,0.166666666666667
"4392453",8170,2547,1877,275,0.111052353252247
"4392461",8171,2470,1374,562,0.22700296735905
"4392462",8172,1829,1203,327,0.1578073089701
"4392464",8173,467,370,26,0.0561497326203209
"4392466",8174,1314,861,354,0.258823529411765
"4392467",8175,2954,1825,264,0.0708791208791209
"4392468",8176,2540,1852,244,0.0912
"4392474",8177,587,376,77,0.10498687664042
"4392484",8178,4244,2814,698,0.144034396273737
"4392488",8179,2572,1798,319,0.112676056338028
"4392505",8180,1644,1186,168,0.0831255195344971
"4392506",8181,4702,3408,473,0.0913094539048738
"4392513",8182,0,0,0,0
"4392519",8183,1221,803,172,0.135135135135135
"4392520",8184,2105,1498,258,0.124087591240876
"4392521",8185,1473,990,163,0.106339468302658
"4392522",8186,3610,2657,412,0.0962907455976021
"4392523",8187,3193,2131,655,0.190588235294118
"4392524",8188,2386,1923,101,0.0382626680455016
"4392525",8189,3265,2191,572,0.152558139534884
"4392535",8190,3147,2474,239,0.0793144679155042
"4392536",8191,1976,1395,195,0.0890014471780029
"4392537",8192,1917,997,284,0.138397502601457
"4392541",8193,2495,1661,388,0.138055222088836
"4392546",8194,121,37,24,0.09375
"4392548",8195,1717,1297,96,0.0557737627651218
"4392553",8196,1653,1017,365,0.203796203796204
"4392556",8197,1890,1447,149,0.0775086505190311
"4392557",8198,1430,1014,240,0.155945419103314
"4392561",8199,0,0,0,0
"4392569",8200,125,47,28,0.27027027027027
"4392571",8201,0,0,0,0
"4392581",8202,2637,1729,440,0.165110851808635
"4392600",8203,0,0,0,0
"4392601",8204,0,0,0,0
"4392606",8205,19,14,6,0.285714285714286
"4392609",8206,0,0,0,0
"4392612",8207,0,0,0,0
"4392613",8208,3070,2101,521,0.158623984710941
"4392614",8209,321,258,25,0.0700389105058366
"4392616",8210,163,62,13,0.087719298245614
"4392618",8211,47,35,6,0.0810810810810811
"4392635",8212,1930,1268,325,0.157936507936508
"4392636",8213,2812,1805,252,0.0766685052399338
"4392643",8214,3919,2890,487,0.114977823268509
"4392644",8215,3452,2641,400,0.114200964034112
"4392645",8216,2222,1704,171,0.068208778173191
"4392655",8217,1351,748,264,0.171390013495277
"4392656",8218,158,63,21,0.1
"4392657",8219,41,20,3,0.105263157894737
"4392658",8220,553,296,130,0.241610738255034
"4392659",8221,26,12,14,0.727272727272727
"4392660",8222,318,170,107,0.333333333333333
"4392670",8223,156,87,50,0.27710843373494
"4392673",8224,0,0,0,0
"4392675",8225,0,0,0,0
"4392680",8226,0,0,0,0
"4392681",8227,0,0,0,0
"4392697",8228,3038,2205,289,0.0898419864559819
"4392699",8229,3630,2829,364,0.0938053097345133
"4392708",8230,1863,1375,156,0.0771513353115727
"4392712",8231,3157,2259,306,0.0929919137466307
"4392721",8232,2319,1733,225,0.0882185543540125
"4392726",8233,2453,1682,371,0.146953405017921
"4392727",8234,640,483,41,0.0582120582120582
"4392731",8235,1770,1251,266,0.135027799841144
"4392741",8236,200,115,23,0.182608695652174
"4392742",8237,580,341,125,0.196428571428571
"4392743",8238,9,5,2,0.2
"4392744",8239,268,151,91,0.158620689655172
"4392745",8240,190,143,9,0.0827586206896552
"4392746",8241,1460,871,239,0.135416666666667
"4392748",8242,0,0,0,0
"4392751",8243,0,0,0,0
"4392755",8244,0,0,0,0
"4392775",8245,0,0,0,0
"4392827A",8246,0,0,0,0
"4392827B",8247,0,0,0,0
"4393032",8248,1407,1024,148,0.0993117010816126
"4393035",8249,3761,3052,184,0.0501639344262295
"4393036",8250,2389,1499,425,0.168470906630582
"4393037",8251,2889,2243,185,0.0644583706356312
"4393038",8252,3664,2493,466,0.112290730910576
"4393039",8253,1857,1505,62,0.0339547270306258
"4393040",8254,3439,2445,272,0.0764227642276423
"4393041",8255,5143,3292,692,0.109808760024676
"4393043",8256,3508,2621,350,0.1
"4393049",8257,3095,2482,170,0.0535571542765787
"4393054",8258,3696,2738,285,0.0725331369661267
"4393063",8259,1823,1418,171,0.0942593905031892
"4393072",8260,2782,2148,139,0.0494505494505494
"4393114",8261,3154,2230,335,0.0925678682688029
"4393131",8262,1818,1297,193,0.0970948012232416
"4393139",8263,1551,977,243,0.153367875647668
"4393140",8264,1903,1354,230,0.11021897810219
"4393152",8265,49,33,2,0.0571428571428571
"4393156",8266,1779,1357,144,0.0740740740740741
"4393157",8267,2593,1664,361,0.141544117647059
"4393160",8268,2775,1763,451,0.169405099150142
"4393164",8269,2156,1401,373,0.161221590909091
"4393166",8270,2814,1742,441,0.142191142191142
"4393172",8271,2787,1877,297,0.0945220193340494
"4393176",8272,3642,2537,359,0.0794912559618442
"4393177",8273,2578,1984,177,0.06580259222333
"4393183",8274,4013,2823,439,0.104755094744369
"4393185",8275,4,4,0,0
"4393187",8276,1703,1180,244,0.127768313458262
"4393192",8277,1048,834,90,0.0752565564424173
"4393193",8278,3244,2665,132,0.0386473429951691
"4393194",8279,2449,1500,450,0.177376171352075
"4393196",8280,2276,1775,142,0.0657969370391378
"4393200",8281,2612,1853,212,0.0720817643894567
"4393209",8282,4102,3366,178,0.0439496044535599
"4393212",8283,2215,1517,183,0.0719086021505376
"4393213",8284,1959,1312,275,0.131359149582384
"4393214",8285,3065,2171,382,0.115577889447236
"4393215",8286,2346,1778,155,0.0582959641255605
"4393216",8287,3896,2909,359,0.0883379888268156
"4393240",8288,3415,2469,422,0.109450726978998
"4393247",8289,1958,1245,230,0.0973813420621931
"4393248",8290,4128,3305,241,0.0572198921509886
"4393249",8291,3686,2656,390,0.101918014291087
"4393254",8292,2568,1722,318,0.128279883381924
"4393260",8293,1567,1238,102,0.0647249190938511
"4393282",8294,1721,1283,127,0.0692307692307692
"4393283",8295,1766,1363,176,0.0967741935483871
"4393286",8296,1063,857,20,0.0246478873239437
"4393287",8297,2769,1920,352,0.118318629994811
"4393289",8298,2976,1952,491,0.153180661577608
"4393321",8299,2889,2154,247,0.0738193489225126
"4393322",8300,2120,1721,157,0.0708016383850205
"4393323",8301,3566,2942,143,0.035958904109589
"4393324",8302,2489,1747,253,0.0914253265190233
"4393325",8303,1153,795,135,0.106870229007634
"4393326",8304,974,615,135,0.126198083067093
"4393327",8305,1740,1318,182,0.101284958427816
"4393329",8306,2929,2085,330,0.100913022585296
"4393330",8307,1178,934,65,0.047008547008547
"4393331",8308,3275,2686,112,0.034675615212528
"4393332",8309,3393,2147,541,0.158043273753528
"4393333",8310,3087,2308,206,0.0665784832451499
"4393334",8311,2289,1626,223,0.0926829268292683
"4393335",8312,2296,1761,245,0.101878201479795
"4393336",8313,3575,2669,376,0.0969445492267069
"4393359",8314,2296,1798,84,0.0366463076068851
"4393361",8315,3232,2371,251,0.0794254330376003
"4393363",8316,3282,2472,354,0.100244498777506
"4393364",8317,1167,757,109,0.0971502590673575
"4393365",8318,4341,3530,230,0.0521962350256703
"4393367",8319,1820,1356,131,0.0654275092936803
"4393368",8320,793,631,54,0.0729001584786054
"4393372",8321,3884,2762,416,0.112614259597806
"4393384",8322,1794,1321,166,0.102817974105103
"4393385",8323,3037,2508,153,0.0536992840095465
"4393386",8324,2554,2022,107,0.0374753451676529
"4393387",8325,2199,1734,163,0.0667050028752156
"4393389",8326,4086,3007,406,0.0974632843791722
"4393390",8327,4245,3514,170,0.040192470987829
"4393391",8328,3119,2088,334,0.106289614822038
"4393392",8329,2427,1903,136,0.0528262017960909
"4393396",8330,3399,2783,178,0.0469798657718121
"4393398",8331,1750,1207,208,0.104651162790698
"4393406",8332,0,0,0,0
"4393409",8333,42,19,8,0.0526315789473684
"4393417",8334,2538,1828,289,0.108659680088252
"4393421",8335,1509,1228,78,0.0527597402597403
"4393422",8336,2513,1977,163,0.0693959061407888
"4393433",8337,617,511,41,0.0560928433268859
"4393443",8338,2404,1806,266,0.114411441144114
"4393446",8339,0,1,0,0
"4393447",8340,0,0,0,0
"4393465",8341,3910,2693,504,0.121996996996997
"4393469",8342,1178,966,48,0.0449790794979079
"4393470",8343,185,115,20,0.094017094017094
"4393471",8344,1824,1522,58,0.0337078651685393
"4393486",8345,4147,3059,422,0.0968057366362451
"4393500",8346,508,363,31,0.0552486187845304
"4393502",8347,1667,1330,47,0.0269259536275243
"4393507",8348,2605,1758,381,0.13246162592382
"4393509",8349,2237,1540,268,0.114807566862361
"4393510",8350,3053,2513,112,0.0370075606844409
"4393511",8351,3175,2184,344,0.106728538283063
"4393516",8352,1935,1589,110,0.0540880503144654
"4393517",8353,2546,1704,220,0.0851697438951757
"4393526",8354,1365,1125,46,0.0333919156414763
"4393527",8355,2662,2025,266,0.0916833667334669
"4393529",8356,2751,2165,100,0.0345781466113416
"4393530",8357,2822,2240,164,0.0580498866213152
"4393538",8358,3937,3136,152,0.040154192097655
"4393539",8359,11,7,3,0.25
"4393542",8360,2452,1855,167,0.0649350649350649
"4393545",8361,2594,2071,107,0.0401353965183752
"4393552",8362,3550,2484,504,0.130837359098229
"4393554",8363,3193,2520,184,0.056686626746507
"4393558",8364,3586,2909,105,0.0281786941580756
"4393560",8365,0,0,0,0
"4393562",8366,133,117,13,0.116666666666667
"4393566",8367,0,0,0,0
"4393567",8368,2777,2199,261,0.0902686041391458
"4393570",8369,3139,2220,356,0.102859778597786
"4393574",8370,888,673,109,0.12332838038633
"4393575",8371,0,0,0,0
"4393579",8372,980,760,45,0.0464516129032258
"4393580",8373,0,0,0,0
"4393582",8374,40,34,0,0
"4393583",8375,0,0,0,0
"4393584",8376,0,0,0,0
"4393585",8377,0,0,0,0
"4393590",8378,0,0,0,0
"4393624",8379,334,271,14,0.037037037037037
"4393626",8380,757,616,26,0.0297805642633229
"4393637",8381,2580,1727,323,0.12284730195178
"4393646",8382,3605,2481,408,0.104712041884817
"4393647",8383,3558,2704,360,0.100406053894426
"4393648",8384,3994,2889,416,0.0964851826326671
"4393653",8385,0,0,0,0
"4393654",8386,0,0,0,0
"4393661",8387,0,0,0,0
"4393663",8388,6,5,0,0
"4393664",8389,0,0,0,0
"4393665",8390,14,12,0,0
"4393667",8391,119,97,11,0.122222222222222
"4393668",8392,409,329,30,0.0712166172106825
"4393669",8393,7,7,0,0
"4393671",8394,974,731,68,0.09353507565337
"4393695",8395,4267,3281,391,0.0945410186032327
"4393696",8396,4100,3057,474,0.105622359441014
"4393698",8397,3785,2781,409,0.107843137254902
"4393700",8398,2397,1570,308,0.131979695431472
"4393706",8399,3138,2072,312,0.103117505995204
"4393709",8400,1497,1071,162,0.100563909774436
"4393716",8401,2291,1795,142,0.0584926884139483
"4393720",8402,2238,1826,73,0.029379760609358
"4393725",8403,2612,1876,263,0.0945802337938363
